unique_location,count(nik),koordinat
JAWA BARAT_BOGOR_TANAH SAREAL_KENCANA,11177,"(-6.5288099999999645, 106.78851000000009, 'Kencana, Tanah Sereal, Bogor, Jawa Barat')"
JAWA BARAT_DEPOK_PANCORAN MAS_RANGKAPAN JAYA,23124,"(-6.394869999999969, 106.78527000000008, 'Rangkapan Jaya, Pancoran Mas, Jawa Barat')"
JAWA BARAT_DEPOK_PANCORAN MAS_RANGKAPAN JAYA BARU,23383,"(-6.398219999999981, 106.77867000000003, 'Rangkapan Jaya Baru, Pancoran Mas, Jawa Barat')"
JAWA BARAT_DEPOK_SAWANGAN_BEDAHAN,16837,"(-6.420289999999966, 106.76687000000004, 'Bedahan, Sawangan, Jawa Barat')"
JAWA BARAT_DEPOK_SAWANGAN_CINANGKA,11404,"(-6.372769999999946, 106.75796000000008, 'Cinangka, Sawangan, Jawa Barat')"
JAWA BARAT_DEPOK_SAWANGAN_KEDAUNG,10247,"(-6.366459999999961, 106.74752000000007, 'Kedaung, Sawangan, Jawa Barat')"
JAWA BARAT_DEPOK_SAWANGAN_PASIR PUTIH,14495,"(-6.418949999999938, 106.78219000000007, 'Pasir Putih, Sawangan, Jawa Barat')"
JAWA BARAT_DEPOK_SAWANGAN_PENGASINAN,15293,"(-6.420749999999941, 106.75269000000009, 'Pengasinan, Sawangan, Jawa Barat')"
JAWA BARAT_GARUT_GARUT KOTA_KOTA WETAN,9917,"(-7.215089999999975, 107.91434000000004, 'Kotawetan, Garut Kota, Jawa Barat')"
JAWA BARAT_GARUT_GARUT KOTA_MARGAWATI,7570,"(-7.238499999999931, 107.91069000000005, 'Margawati, Garut Kota, Jawa Barat')"
JAWA BARAT_GARUT_GARUT KOTA_MUARA SANDING,7577,"(-7.2347599999999375, 107.89986000000005, 'Muara Sanding, Garut Kota, Jawa Barat')"
JAWA BARAT_GARUT_GARUT KOTA_PAKUWON,5079,"(-7.213649999999973, 107.90209000000004, 'Pakuwon, Garut Kota, Jawa Barat')"
JAWA BARAT_GARUT_GARUT KOTA_PAMINGGIR,5858,"(-7.216209999999933, 107.89934000000005, 'Paminggir, Garut Kota, Jawa Barat')"
JAWA BARAT_GARUT_GARUT KOTA_REGOL,7904,"(-7.217579999999941, 107.90917000000007, 'Regol, Garut Kota, Jawa Barat')"
JAWA BARAT_GARUT_GARUT KOTA_SUKAMENTRI,11821,"(-7.198199999999929, 107.91306000000009, 'Sukamantri, Garut Kota, Jawa Barat')"
JAWA BARAT_GARUT_GARUT KOTA_SUKANEGLA,5534,"(-7.254599999999925, 107.93314000000004, 'Sukanegla, Garut Kota, Jawa Barat')"
JAWA BARAT_INDRAMAYU_CANTIGI_LAMARAN TARUNG,5288,"(-6.279369999999972, 108.23587000000003, 'Lamarantarung, Cantigi, Jawa Barat')"
JAWA BARAT_CIREBON_PEKALIPAN_PEKALANGAN,4775,"(-6.717839999999967, 108.56111000000004, 'Pekalangan, Pekalipan, Cirebon, Jawa Barat')"
JAWA BARAT_CIREBON_PEKALIPAN_PEKALIPAN,5092,"(-6.722249999999974, 108.56398000000007, 'Pekalipan, Cirebon, Jawa Barat')"
JAWA BARAT_SUKABUMI_WARUDOYONG_BENTENG,8259,"(-6.922339999999963, 106.91569000000004, 'Benteng, Warudoyong, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_WARUDOYONG_DAYEUHLUHUR,10538,"(-6.939949999999953, 106.91636000000005, 'Dayeuhluhur, Warudoyong, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_WARUDOYONG_NYOMPLONG,5450,"(-6.927059999999926, 106.92355000000003, 'Nyomplong, Warudoyong, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_WARUDOYONG_SUKAKARYA,10504,"(-6.926789999999926, 106.90506000000005, 'Sukakarya, Warudoyong, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_WARUDOYONG_WARUDOYONG,4439,"(-6.928209999999979, 106.91578000000004, 'Warudoyong, Sukabumi, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_BUNGURSARI_BANTARSARI,7231,"(-7.322649999999953, 108.18749000000008, 'Bantarsari, Bungursari, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_BUNGURSARI_BUNGURSARI,4404,"(-7.301519999999925, 108.17353000000008, 'Bungursari, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_BUNGURSARI_CIBUNIGEULIS,4855,"(-7.313419999999951, 108.17444000000006, 'Cibunigeulis, Bungursari, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_BUNGURSARI_SUKAJAYA,3994,"(-7.313759999999945, 108.18630000000007, 'Sukajaya, Bungursari, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_BUNGURSARI_SUKALAKSANA,5256,"(-7.299969999999973, 108.17451000000005, 'Sukalaksana, Bungursari, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_BUNGURSARI_SUKAMULYA,4700,"(-7.314239999999927, 108.19934000000006, 'Sukamulya, Bungursari, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_BUNGURSARI_SUKARINDIK,6637,"(-7.302659999999946, 108.19357000000008, 'Sukarindik, Bungursari, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_CIBEUREUM_AWIPARI,3939,"(-7.3546799999999735, 108.27221000000009, 'Awipari, Cibeureum, Tasikmalaya, Jawa Barat')"
